Date,Open,High,Low,Close,Adjusted_close,Volume
2023-11-17,3497.85,3524.5,3492.55,3502.45,3486.2956,2021292
2023-11-20,3491.25,3533.9,3491.25,3519.6,3503.3665,1475621
2023-11-21,3519.6,3539.05,3501,3510.2,3494.0099,1807236
2023-11-22,3500,3532.65,3481.1,3530.15,3513.8679,1798051
2023-11-23,3530,3544,3500,3508.25,3492.0689,2729804
2023-11-24,3494.25,3504.55,3453,3457.1,3441.1548,1989733
2023-11-28,3457.1,3481.25,3433,3470.15,3454.1446,1689195
2023-11-29,3481,3518,3475.8,3513.75,3497.5435,1441634
2023-11-30,3499.45,3516.65,3481,3487.6,3471.5141,3266235
2023-12-01,3500,3516.95,3490.05,3511.65,3495.4532,1172141
2023-12-04,3544.65,3547.8,3498,3512.45,3496.2495,1625213
2023-12-05,3538,3538,3502.8,3531.6,3515.3112,1377656
2023-12-06,3532.6,3612.85,3525.15,3604.1,3587.4768,1896572
2023-12-07,3605,3630.55,3591.7,3614.9,3598.227,1967653
2023-12-08,3633,3645,3602.05,3626.7,3609.9725,1641155
2023-12-11,3622.9,3653,3615,3642.9,3626.0978,1102503
2023-12-12,3638.95,3698.4,3631,3672.1,3655.1631,2236866
2023-12-13,3643.55,3650,3563,3593.55,3576.9754,3850968
2023-12-14,3630,3678,3627.6,3667.25,3650.3355,3290396
2023-12-15,3666.7,3895.95,3666.7,3861,3843.1919,8531230
2023-12-18,3858.1,3929,3830.15,3859.2,3841.4002,2521612
2023-12-19,3845,3855.1,3790,3816.2,3798.5985,2004435
2023-12-20,3827.25,3898.8,3766.55,3780.05,3762.6152,2586083
2023-12-21,3756.25,3806.7,3743.35,3787.5,3770.0309,1517562
2023-12-22,3800,3845.95,3762,3824,3806.3625,2413058
2023-12-26,3819.85,3834,3790.15,3795.55,3778.0437,1285231
2023-12-27,3799,3818.2,3768,3811.2,3793.6216,1293976
2023-12-28,3824,3838,3792.1,3799.9,3782.3737,1682889
2023-12-29,3792,3822.6,3765.4,3793.4,3775.9037,1574996
2024-01-01,3790,3832,3773,3811.1,3793.522,825907
2024-01-02,3811.1,3811.1,3767.25,3783.2,3765.7507,1344068
2024-01-03,3767,3771.85,3687.05,3691.75,3674.7225,1803075
2024-01-04,3701.75,3719,3651,3666.8,3649.8876,3598144
2024-01-05,3675,3747.75,3674.85,3737.9,3720.6596,1963127
2024-01-08,3737.9,3739.75,3672.4,3678.3,3661.3345,1067805
2024-01-09,3709.95,3752.35,3682.75,3689.9,3672.881,1370944
2024-01-10,3690,3729.25,3688,3713.05,3695.9243,1292227
2024-01-11,3724,3773,3707,3735.55,3718.3205,1777909
2024-01-12,3848,3905.25,3821.6,3882.8,3864.8913,6813450
2024-01-15,3960,3965,3885,3903.8,3885.79,2801505
2024-01-16,3899,3899,3855.55,3861.3,3843.49,1432672
2024-01-17,3819,3909.95,3812.55,3884.6,3866.68,3458696
2024-01-18,3898,3908.8,3862,3902.6,3884.6,2239110
2024-01-19,3945,3963.55,3915.05,3943.05,3943.05,2941975
2024-01-20,3948,3955.65,3855.55,3860.65,3860.65,516477
2024-01-22,3943.05,3943.05,3943.05,3943.05,3943.05,0
2024-01-23,3900,3933.9,3842.75,3858.25,3858.25,2618854
2024-01-24,3880,3883.65,3805.6,3841.8,3841.8,2657709
2024-01-25,3839.9,3861,3778.7,3810.3,3810.3,2205154
